team,assistor,assisted
WAS,20001749,20001393.0
TOR,20001733,20000733.0
TOR,20001710,20000467.0
WAS,20000920,20001393.0
WAS,20000820,20000609.0
WAS,20000467,20000820.0
TOR,20001733,20000456.0
WAS,20000625,20000441.0
WAS,20000625,20000848.0
WAS,20000625,20000440.0
TOR,20000457,20001838.0
TOR,20000456,20000457.0
TOR,20000625,20000457.0
TOR,20001733,20000456.0
WAS,20000625,20000441.0
WAS,20000441,20000625.0
TOR,20000443,20000456.0
WAS,20000625,20000440.0
TOR,20000457,20000455.0
WAS,20000625,20000440.0
WAS,20000625,20000441.0
TOR,20000440,20000457.0
TOR,20000456,20000733.0
TOR,20000457,20000733.0
WAS,20000625,20000440.0
WAS,20000440,20000441.0
TOR,20000456,20000467.0
TOR,20001393,20000733.0
WAS,20000456,20000625.0
WAS,20001749,20000609.0
TOR,20001710,20001733.0
WAS,20000820,20000609.0
TOR,20001733,20000733.0
WAS,20000733,20001393.0
TOR,20001733,20000874.0
WAS,20000440,20000443.0
WAS,20000440,20000625.0
WAS,20000440,20000443.0
TOR,20000456,20001733.0
TOR,20000457,20000456.0
WAS,20000457,20000441.0
DET,20000515,20000559.0
MIN,20000515,20000795.0
MIN,20000605,20001431.0
MIN,20001427,20000515.0
DET,20001427,20000881.0
DET,20000810,20000559.0
MIN,20000605,20001431.0
MIN,20000515,20001431.0
DET,20000901,20000559.0
DET,20000901,20000559.0
DET,20001427,20000676.0
DET,20000810,20000559.0
MIN,20000800,20000795.0
MIN,20000605,20001429.0
DET,20000676,20000901.0
DET,20000912,20001427.0
DET,20001430,20000901.0
MIN,20000912,20000666.0
DET,20000912,20001427.0
DET,20000901,20000854.0
MIN,20001430,20000666.0
MIN,20001840,20000799.0
DET,20000872,20000854.0
MIN,20000854,20001430.0
MIN,20001430,20000666.0
MIN,20001431,20000517.0
DET,20000881,20000559.0
DET,20000881,20000810.0
MIN,20000605,20000517.0
DET,20000559,20000810.0
MIN,20000515,20000795.0
DET,20000795,20000810.0
DET,20000517,20000881.0
MIN,20000605,20001431.0
MIN,20001431,20000795.0
MIN,20000605,20000515.0
MIN,20001427,20000605.0
DET,20000881,20000676.0
DET,20000515,20000896.0
DET,20000881,20000676.0
MIN,20000676,20000605.0
MIN,20000795,20000517.0
MIN,20000676,20000517.0
MIN,20000605,20001431.0
MIN,20000605,20000795.0
DET,20000795,20000810.0
DET,20000810,20000676.0
MIN,20000676,20001429.0
MIN,20000605,20000515.0
MIN,20001429,20000515.0
MIN,20000515,20000795.0
MIN,20001840,20001429.0
DET,20000901,20000676.0
DET,20000795,20001840.0
MIN,20000810,20000799.0
DET,20000854,20000810.0
MIN,20001430,20000799.0
DET,20000515,20001840.0
DET,20000799,20000901.0
DET,20000901,20000810.0
MIN,20000810,20000605.0
DET,20000810,20000559.0
MIN,20000559,20000605.0
DET,20000881,20000559.0
MIN,20000517,20001431.0
DET,20000881,20000559.0
MIN,20000881,20000605.0
DET,20000881,20000810.0
DET,20000881,20000810.0
